Sample #,Unique Soil ID,Set,Set ID,Soil ID,Rep,Soil.mass,SOC.mass.class,SOC.mass,mmol.Mn.reduced,mmol.C.oxidized,POXC,POXC.max.theoretical,Detectable,SOC.pct,pH,Clay.pct
1,1,UIUC,1,UIUC-1,a,2.5,std,41.25,0.0616,0.0462,222,1440,1,1.65,5,71.65
2,1,UIUC,1,UIUC-1,b,2.5,std,41.25,0.0661,0.0496,238,1440,1,1.65,5,71.65
3,1,UIUC,1,UIUC-1,c,2.5,std,41.25,0.0733,0.0549,264,1440,1,1.65,5,71.65
4,1,UIUC,1,UIUC-1,a,0.9,15mg,14.85,0.0295,0.0222,295,4000,1,1.65,5,71.65
5,1,UIUC,1,UIUC-1,b,0.9,15mg,14.85,0.4036,0.3027,4036,4000,0,1.65,5,71.65
6,1,UIUC,1,UIUC-1,c,0.9,15mg,14.85,0.0341,0.0256,341,4000,1,1.65,5,71.65
7,1,UIUC,1,UIUC-1,a,1.51,25mg,24.915,0.0265,0.0199,158,2384,1,1.65,5,71.65
8,1,UIUC,1,UIUC-1,b,1.51,25mg,24.915,0.0529,0.0397,315,2384,1,1.65,5,71.65
9,1,UIUC,1,UIUC-1,c,1.51,25mg,24.915,0.0478,0.0359,285,2384,1,1.65,5,71.65
10,2,UIUC,2,UIUC-2,a,2.5,std,14.5,0.0489,0.0366,176,1440,1,0.58,8,47.97
11,2,UIUC,2,UIUC-2,b,2.5,std,14.5,0.0941,0.0706,339,1440,1,0.58,8,47.97
12,2,UIUC,2,UIUC-2,c,2.5,std,14.5,0.1114,0.0835,401,1440,1,0.58,8,47.97
13,2,UIUC,2,UIUC-2,a,2.58,15mg,14.964,0.1388,0.1041,484,1395,1,0.58,8,47.97
14,2,UIUC,2,UIUC-2,b,2.58,15mg,14.964,0.0865,0.0649,302,1395,1,0.58,8,47.97
15,2,UIUC,2,UIUC-2,c,2.58,15mg,14.964,0.1246,0.0934,435,1395,1,0.58,8,47.97
16,2,UIUC,2,UIUC-2,a,4.31,25mg,24.998,0.2013,0.151,420,835,1,0.58,8,47.97
17,2,UIUC,2,UIUC-2,b,4.31,25mg,24.998,0.2232,0.1674,466,835,1,0.58,8,47.97
18,2,UIUC,2,UIUC-2,c,4.31,25mg,24.998,0.1541,0.1155,322,835,1,0.58,8,47.97
19,3,UIUC,3,UIUC-3,a,2.5,std,35,0.0396,0.0297,143,1440,1,1.4,5.6,69.44
20,3,UIUC,3,UIUC-3,b,2.5,std,35,0.0449,0.0337,162,1440,1,1.4,5.6,69.44
21,3,UIUC,3,UIUC-3,c,2.5,std,35,0.056,0.042,202,1440,1,1.4,5.6,69.44
22,3,UIUC,3,UIUC-3,a,1.07,15mg,14.98,0.0132,0.0099,111,3364,1,1.4,5.6,69.44
23,3,UIUC,3,UIUC-3,b,1.07,15mg,14.98,0.0074,0.0055,62,3364,1,1.4,5.6,69.44
24,3,UIUC,3,UIUC-3,c,1.07,15mg,14.98,0.0116,0.0087,98,3364,1,1.4,5.6,69.44
25,3,UIUC,3,UIUC-3,a,1.78,25mg,24.92,0.0348,0.0261,176,2022,1,1.4,5.6,69.44
26,3,UIUC,3,UIUC-3,b,1.78,25mg,24.92,0.0766,0.0574,387,2022,1,1.4,5.6,69.44
27,3,UIUC,3,UIUC-3,c,1.78,25mg,24.92,0.0348,0.0261,176,2022,1,1.4,5.6,69.44
28,4,UIUC,4,UIUC-4,a,2.5,std,44,0.0924,0.0693,333,1440,1,1.76,7.7,44.63
29,4,UIUC,4,UIUC-4,b,2.5,std,44,0.1067,0.08,384,1440,1,1.76,7.7,44.63
30,4,UIUC,4,UIUC-4,c,2.5,std,44,0.1109,0.0832,399,1440,1,1.76,7.7,44.63
31,4,UIUC,4,UIUC-4,a,0.85,15mg,14.96,0.0438,0.0329,464,4235,1,1.76,7.7,44.63
32,4,UIUC,4,UIUC-4,b,0.85,15mg,14.96,0.0465,0.0348,492,4235,1,1.76,7.7,44.63
33,4,UIUC,4,UIUC-4,c,0.85,15mg,14.96,0.0544,0.0408,576,4235,1,1.76,7.7,44.63
34,4,UIUC,4,UIUC-4,a,1.42,25mg,24.992,0.075,0.0562,475,2535,1,1.76,7.7,44.63
35,4,UIUC,4,UIUC-4,b,1.42,25mg,24.992,0.0861,0.0646,546,2535,1,1.76,7.7,44.63
36,4,UIUC,4,UIUC-4,c,1.42,25mg,24.992,0.0861,0.0646,546,2535,1,1.76,7.7,44.63
37,5,UIUC,5,UIUC-5,a,2.5,std,39.25,0.1321,0.099,475,1440,1,1.57,6.1,39.16
38,5,UIUC,5,UIUC-5,b,2.5,std,39.25,0.1358,0.1018,489,1440,1,1.57,6.1,39.16
